SIC_Section,SIC_Codes,SIC_Classification,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,url,brand,qualifier_type,qualifier_data,provenance,supply_date
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9232,103827078,Michael Reeves Design,2140214,Commercial Services,Research and Design,Design Services,528381,178498,1,1.00E+11,osgb1000042211376,9,8400518,1,21.9,30,Pimlico Road,London,Greater London,SW1W 8LJ,City of Westminster London Boro,2077303009,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9504,103808055,Couture Brands Ltd,2140214,Commercial Services,Research and Design,Design Services,528587,178504,1,1.00E+11,osgb1000005284442,7,8400915,1,16.2,Flat 56 Consort Rise House 199-203,Buckingham Palace Road,London,Greater London,SW1W 9TB,City of Westminster London Boro,7791983189,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9605,107655111,Outform Ltd,2140214,Commercial Services,Research and Design,Design Services,529096,181413,1,10092022499,osgb1000005428485,2,8401186,1,19.1,Textile House 20,Margaret Street,London,Greater London,W1W 8RS,City of Westminster London Boro,8454606111,www.outform.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9667,107656154,Corporate P R M,2140214,Commercial Services,Research and Design,Design Services,529486.4,180577,1,,osgb5000005114739161,1,8400515,2,11.7,180,Piccadilly,London,Greater London,W1J 9HF,City of Westminster London Boro,7730410440,www.corporateprm.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9679,105222863,Tracey Neuls,2140214,Commercial Services,Research and Design,Design Services,528433,181369,1,10033651490,osgb1000005295293,4,8400513,1,9.5,74-78,Marylebone Lane,London,Greater London,W1U 2PW,City of Westminster London Boro,2079350039,www.traceyneuls.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9740,105223362,Home Run Services Ltd,2140214,Commercial Services,Research and Design,Design Services,528768,181770,1,1.00E+11,osgb1000005292670,4,8400143,1,25.5,"Westcott House, 35",Portland Place,London,Greater London,W1B,City of Westminster London Boro,2079358899,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9779,105224469,Crombie,2140214,Commercial Services,Research and Design,Design Services,529044,180857,1,1.00E+11,osgb1000042219363,5,8401288,1,26.1,48,Conduit Street,London,Greater London,W1S 2YR,City of Westminster London Boro,2079983498,www.crombie.co.uk,Crombie,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9783,105204114,Argent Design Ltd,2140214,Commercial Services,Research and Design,Design Services,528698,178820,1,10033591620,osgb1000005283849,3,8400915,1,34.9,First Floor 134-136,Buckingham Palace Road,London,Greater London,SW1W 9SA,City of Westminster London Boro,2075634250,www.argentdesign.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9788,105207245,Poggenpohl,2140214,Commercial Services,Research and Design,Design Services,528252,181272,1,1.00E+11,osgb1000005295133,4,8400283,1,20.5,118,Wigmore Street,London,Greater London,W1U 3RT,City of Westminster London Boro,2072241986,www.poggenpohl.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9872,104584631,Plain English,2140214,Commercial Services,Research and Design,Design Services,528217,181576,1,10033602338,osgb1000001787335536,2,8401272,1,13.3,28,Blandford Street,London,Greater London,W1U 4BZ,City of Westminster London Boro,2074862674,www.plainenglishdesign.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,9963,105206465,Intelligent Work Space Ltd,2140214,Commercial Services,Research and Design,Design Services,529264.3,181561.8,1,,osgb1000005427223,3,8401448,2,13.8,27,Mortimer Street,London,Greater London,W1T 3JF,City of Westminster London Boro,8702404592,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10174,107640236,John Stefanidis Brands Ltd,2140214,Commercial Services,Research and Design,Design Services,528365,178576,1,10033571602,osgb1000005285373,5,8400666,1,15.8,Mozart Terrace 174,Ebury Street,London,Greater London,SW1W 8UP,City of Westminster London Boro,2076224294,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10220,107643375,Ashley Carter Consultants Ltd,2140214,Commercial Services,Research and Design,Design Services,529617,181376,1,1.00E+11,osgb1000001786932128,2,8401522,1,19.4,Holden House 57,Rathbone Place,London,Greater London,W1T 1JU,City of Westminster London Boro,2078514784,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10247,108295263,Pringle of Scotland,2140214,Commercial Services,Research and Design,Design Services,529736,178865,1,1.00E+11,osgb1000005417935,4,8400272,1,50.5,1,Vincent Square,London,Greater London,SW1P 2PN,City of Westminster London Boro,2087488685,www.pringlescotland.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10254,108318636,Nicholas Anthony,2140214,Commercial Services,Research and Design,Design Services,528566,181372,1,1.00E+11,osgb1000005294186,5,8400283,1,25.7,44,Wigmore Street,London,Greater London,W1U 2RY,City of Westminster London Boro,2079350177,www.nicholas-anthony.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10306,108312072,Living in Space,2140214,Commercial Services,Research and Design,Design Services,526683,182942,1,10033600156,osgb1000004330894,4,8401154,1,20.9,45,Circus Road,London,Greater London,NW8 9JH,City of Westminster London Boro,2077223131,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10317,111216630,Urban Living Interiors,2140214,Commercial Services,Research and Design,Design Services,528984,181585,1,10092022442,osgb1000005292977,9,8400603,1,28.4,85,Great Portland Street,London,Greater London,W1W 7LT,City of Westminster London Boro,2076379427,www.urbanlivinginteriors.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10357,111220241,Halcyon Interiors Ltd,2140214,Commercial Services,Research and Design,Design Services,528252,181272,1,10033572223,osgb1000005295133,4,8400283,1,20.5,120,Wigmore Street,London,Greater London,W1U 3RU,City of Westminster London Boro,2074863080,www.halcyoninteriors.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10467,110611083,Bluebottle,2140214,Commercial Services,Research and Design,Design Services,529636,181194,1,10091945279,osgb1000042221005,3,8400953,1,8.7,13-14,Dean Street,London,Greater London,W1D 3RS,City of Westminster London Boro,2074371017,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10508,110597100,Cocovara,2140214,Commercial Services,Research and Design,Design Services,528052,179418,1,1.00E+11,osgb1000042211502,2,8401451,1,12.9,2,Motcomb Street,London,Greater London,SW1X 8JU,City of Westminster London Boro,2072450203,www.cocovara.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10634,109080327,Keir Townsend,2140214,Commercial Services,Research and Design,Design Services,528717,180567,1,1.00E+11,osgb1000042212502,4,8400761,1,20.3,43,Berkeley Square,London,Greater London,W1J 5AP,City of Westminster London Boro,2075844300,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10655,108357040,1508 London,2140214,Commercial Services,Research and Design,Design Services,529391.2,179142.7,1,10091883337,osgb1000042217575,6,8400975,1,27.1,Gallery 9,Howick Place,London,Greater London,SW1P 1AE,City of Westminster London Boro,2078023800,www.1508london.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10692,109075236,Hotel Creative,2140214,Commercial Services,Research and Design,Design Services,529289,181407,1,1.00E+11,osgb1000005428600,2,8401169,1,19.6,22,Eastcastle Street,London,Greater London,W1W 8DE,City of Westminster London Boro,2072875020,www.hotelcreative.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10806,123127051,Marc Newson Ltd,2140214,Commercial Services,Research and Design,Design Services,529391,179143,1,10092037635,osgb1000042217575,6,8400975,1,26.8,7,Howick Place,London,Greater London,SW1P 1BB,City of Westminster London Boro,2079320990,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,10883,118119204,Secret Cape Ltd,2140214,Commercial Services,Research and Design,Design Services,528604,180958,1,1.00E+11,osgb1000042212924,3,8400906,1,22,60,Brook Street,"Mayfair, London",Greater London,W1K 5DU,City of Westminster London Boro,2074997255,www.secretcape.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11049,114125395,Isabel Marant,2140214,Commercial Services,Research and Design,Design Services,528844,180726,1,1.00E+11,osgb1000042212718,4,8401138,1,25.8,29,Bruton Street,London,Greater London,W1J 6QP,City of Westminster London Boro,2074997887,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11129,124781755,Martin Moore & Company,2140214,Commercial Services,Research and Design,Design Services,525090,181080,1,1.00E+11,osgb1000004194044,4,8400743,1,23.8,176,Westbourne Grove,London,Greater London,W11 2RW,City of Westminster London Boro,2072212727,www.martinmoore.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11177,124023988,Your Personal Jeweller,2140214,Commercial Services,Research and Design,Design Services,528630.1,181325.9,1,1.00E+11,osgb1000005294269,6,8400289,1,18,91,Wimpole Street,London,Greater London,W1G 0EF,City of Westminster London Boro,8000248940,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11214,123152762,Mad About Design Ltd,2140214,Commercial Services,Research and Design,Design Services,529133,181659,1,10033547484,osgb1000005427030,2,8400008,1,15.3,33,Foley Street,London,Greater London,W1W 7TL,City of Westminster London Boro,2035983138,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11218,123149191,Amanda Bond Design,2140214,Commercial Services,Research and Design,Design Services,528576,180692,1,1.00E+11,osgb1000042212615,3,8401452,1,18.3,7,Mount Row,London,Greater London,W1K 3RF,City of Westminster London Boro,2074992921,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11224,124770026,Icoex,2140214,Commercial Services,Research and Design,Design Services,529006,181548,1,1.00E+11,osgb1000005427090,3,8400603,1,18,75-77,Great Portland Street,London,Greater London,W1W 7LR,City of Westminster London Boro,2076312443,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11259,123142695,The Gild,2140214,Commercial Services,Research and Design,Design Services,529107,181436,1,1.00E+11,osgb1000005428489,3,8400846,1,16.9,22-23,Little Portland Street,London,Greater London,W1W 8BU,City of Westminster London Boro,2079077157,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11433,125699779,High End Kitchen,2140214,Commercial Services,Research and Design,Design Services,525354,182050,1,1.00E+11,osgb1000004197558,4,8401403,1,11.9,9,Marylands Road,London,Greater London,W9 2DU,City of Westminster London Boro,7851990476,www.highendkitchen.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11459,125703285,West Seventy Nine,2140214,Commercial Services,Research and Design,Design Services,524667.7,182560.8,1,1.00E+11,osgb1000004044250,2,8401128,1,14,79,Bravington Road,London,Greater London,W9 3AA,City of Westminster London Boro,7786017673,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11493,125659537,M2 Commercial Interiors Ltd,2140214,Commercial Services,Research and Design,Design Services,529231,180878,1,,osgb1000042219241,4,8400980,3,29.5,Fifth Floor Linen Hall 162-168,Regent Street,London,Greater London,W1B 5TF,City of Westminster London Boro,2033262655,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11494,125655378,Roselind Wilson Design,2140214,Commercial Services,Research and Design,Design Services,525939,182026,1,1.00E+11,osgb1000004196219,3,8400904,1,11.9,24,Bristol Gardens,London,Greater London,W9 2JQ,City of Westminster London Boro,2033711779,www.roselindwilsondesign.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11642,125745714,Boffi Depadova Wigmore,2140214,Commercial Services,Research and Design,Design Services,528624,181344,1,1.00E+11,osgb1000005294271,4,8400283,1,18.1,25,Wigmore Street,London,Greater London,W1U 1PN,City of Westminster London Boro,2076290058,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11763,125763667,Design House,2140214,Commercial Services,Research and Design,Design Services,530830,181097,1,1.00E+11,osgb1000005576237,4,8400747,1,42.4,Aldwych House 71-79,Aldwych,London,Greater London,WC2B 4HN,City of Westminster London Boro,2072022610,www.designhouse.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11821,125700943,& Agency,2140214,Commercial Services,Research and Design,Design Services,528984,181585,1,1.00E+11,osgb1000005292977,9,8400603,1,28.4,85,Great Portland Street,London,Greater London,W1W 7LT,City of Westminster London Boro,7847320418,www.andagency.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11847,125701717,Gaudium Projects,2140214,Commercial Services,Research and Design,Design Services,526236,181303,1,1.00E+11,osgb1000042176356,2,8400410,1,16.8,140,Gloucester Terrace,London,Greater London,W2 6HR,City of Westminster London Boro,2074028798,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,11994,125867920,The Room Co,2140214,Commercial Services,Research and Design,Design Services,527642,181368,1,1.00E+11,osgb1000042197986,3,8401188,1,11.1,Vincent Court,Seymour Place,London,Greater London,W1H 2ND,City of Westminster London Boro,2072629107,www.theroomcompany.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12023,125817656,Ann Green,2140214,Commercial Services,Research and Design,Design Services,526608,182281,1,1.00E+11,osgb1000004332108,4,8401483,1,16.2,Flat 77 Clifton Court,Northwick Terrace,London,Greater London,NW8 8HX,City of Westminster London Boro,2072862187,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12056,125811795,Not Another Design Agency,2140214,Commercial Services,Research and Design,Design Services,528984,181585,1,10092007220,osgb1000005292977,9,8400603,1,28.4,85,Great Portland Street,London,Greater London,W1W 7LT,City of Westminster London Boro,2077204049,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12066,125779019,Cadeuro,2140214,Commercial Services,Research and Design,Design Services,529048,181732,1,1.00E+11,osgb1000005426969,4,8401379,1,20.4,91,Great Titchfield Street,London,Greater London,W1W 6RW,City of Westminster London Boro,2070437491,www.cadeuro.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12120,127727433,Nine United Studio UK Ltd,2140214,Commercial Services,Research and Design,Design Services,529638,179628,1,1.00E+11,osgb1000042216390,4,8401504,1,22.6,Queen Annes House 34,Queen Anne's Gate,London,Greater London,SW1H 9AB,City of Westminster London Boro,2072220574,www.hay.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12181,127729497,Muse Yard London,2140214,Commercial Services,Research and Design,Design Services,525714.9,181439.4,1,1.00E+11,osgb1000042156537,3,8400632,1,13,1,Westbourne Park Road,London,Greater London,W2 5PX,City of Westminster London Boro,7783539553,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12191,127731005,Gabriela Caldas Interior Designs,2140214,Commercial Services,Research and Design,Design Services,526204.8,181019.6,1,1.00E+11,osgb1000042175756,3,8400938,2,17.1,45,Cleveland Square,London,Greater London,W2 6DA,City of Westminster London Boro,7823405630,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12209,127717279,Ren,2140214,Commercial Services,Research and Design,Design Services,528140,178894,1,10033533895,osgb1000005284983,8,8400822,1,22.3,1,Eaton Terrace,London,Greater London,SW1W 8EX,City of Westminster London Boro,7476240640,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12223,127720223,Hart D'lacey,2140214,Commercial Services,Research and Design,Design Services,530094,180693,1,1.00E+11,osgb1000005573973,5,8400618,1,12.3,40,St Martin's Lane,London,Greater London,WC2N 4ER,City of Westminster London Boro,2072403450,www.hart-dlacey.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12244,127706869,Simo,2140214,Commercial Services,Research and Design,Design Services,525508,182066,1,1.00E+11,osgb1000004196314,3,8401592,1,18.2,43,Sutherland Avenue,London,Greater London,W9 2HE,City of Westminster London Boro,7967356203,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12245,127706871,Joyce Wang Studio,2140214,Commercial Services,Research and Design,Design Services,529035,181561.7,1,,osgb1000005427101,2,8401025,3,7,76,Great Portland Street,London,Greater London,W1W 7NL,City of Westminster London Boro,2074368846,www.joycewangstudio.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12256,126961723,Hero Creative,2140214,Commercial Services,Research and Design,Design Services,530561,180933,1,1.00E+11,osgb1000005573471,2,8401052,1,10.8,40,Tavistock Street,London,Greater London,WC2E 7PB,City of Westminster London Boro,7957751797,www.herocreative.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12336,125898636,This Way Up Design,2140214,Commercial Services,Research and Design,Design Services,527879,181653,1,1.00E+11,osgb1000042196416,4,8401354,1,16.1,74,Gloucester Place,London,Greater London,W1U 6HH,City of Westminster London Boro,2079986202,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12407,126973133,Sibling & Co Ltd,2140214,Commercial Services,Research and Design,Design Services,529295,181409,1,10091952265,osgb1000005428601,2,8401169,1,19.8,21,Eastcastle Street,London,Greater London,W1W 8DD,City of Westminster London Boro,2076369898,www.siblingandco.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12830,133150824,Mazzullo Russell Landscape Design,2140214,Commercial Services,Research and Design,Design Services,529276,178599,1,10033627171,osgb1000005419078,7,8400065,1,9.4,1月5日,Dell's Mews,London,Greater London,SW1V 2LW,City of Westminster London Boro,2079319996,www.mazzullorusselllandscapedesign.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,12863,133147994,Maria Grachvogel London,2140214,Commercial Services,Research and Design,Design Services,528610,181065,1,1.00E+11,osgb1000005294569,5,8401034,1,12.3,48,South Molton Street,London,Greater London,W1K 5SA,City of Westminster London Boro,2074930666,www.mariagrachvogel.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13083,129836853,D S E Group,2140214,Commercial Services,Research and Design,Design Services,526490,180849,1,1.00E+11,osgb1000042173217,3,8400806,1,15.5,23,Craven Terrace,London,Greater London,W2 3QH,City of Westminster London Boro,2074024603,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13121,129841263,Dashing Tweeds Ltd,2140214,Commercial Services,Research and Design,Design Services,528073,181672,1,1.00E+11,osgb1000005294069,2,8400963,1,13.3,47,Dorset Street,London,Greater London,W1U 7ND,City of Westminster London Boro,2074866882,www.dashingtweeds.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13252,145412573,Sera of London Ltd,2140214,Commercial Services,Research and Design,Design Services,526229,182437,1,1.00E+11,osgb1000004332981,3,8401514,1,17.6,80,Randolph Avenue,London,Greater London,W9 1BG,City of Westminster London Boro,7977534115,www.seraoflondon.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13582,133158399,Lennox-boyd Landscape Design,2140214,Commercial Services,Research and Design,Design Services,529470,178308,1,1.00E+11,osgb1000005420727,3,8401444,1,11.4,45,Moreton Street,London,Greater London,SW1V 2NY,City of Westminster London Boro,2079319995,www.arabellalennoxboyd.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13600,146532237,Daniel Hopwood,2140214,Commercial Services,Research and Design,Design Services,527865,181698,1,1.00E+11,osgb1000042196422,5,8401354,1,16.1,86,Gloucester Place,London,Greater London,W1U 6HP,City of Westminster London Boro,2072862004,www.danielhopwood.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13723,146533402,Charlie Kingham,2140214,Commercial Services,Research and Design,Design Services,528137,181508,1,1.00E+11,osgb1000005294116,9,8401272,1,35.6,53,Blandford Street,London,Greater London,W1U 7HL,City of Westminster London Boro,2079352255,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13791,145409728,Base Interior,2140214,Commercial Services,Research and Design,Design Services,528171,181366,1,1.00E+11,osgb1000005295100,4,8400003,1,22.6,5,Fitzhardinge Street,London,Greater London,W1H 6ED,City of Westminster London Boro,2074865690,www.baseinterior.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13829,145830934,Velmar Pearls,2140214,Commercial Services,Research and Design,Design Services,528560,178377,1,1.00E+11,osgb1000005286478,4,8400824,2,33.9,23 Ebury Bridge Road,Victoria House,London,Greater London,SW1W 8SS,City of Westminster London Boro,7950389084,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13834,146535653,Kong Indus,2140214,Commercial Services,Research and Design,Design Services,530700,180800,1,10091965700,osgb1000005573372,8,8401576,1,86.7,Somerset House,Strand,London,Greater London,WC2R 1LA,City of Westminster London Boro,7577477690,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,13948,145402931,Bell Integrated Communications Ltd,2140214,Commercial Services,Research and Design,Design Services,529444,181561,1,10033539195,osgb1000005427457,2,8401464,1,14.5,30,Newman Street,London,Greater London,W1T 1PT,City of Westminster London Boro,2034756940,www.bell-integrated.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14106,152775064,Studio Ashby Ltd,2140214,Commercial Services,Research and Design,Design Services,529481,179361,1,1.00E+11,osgb1000042217436,3,8400926,1,19.1,The Blewcoat School 23,Caxton Street,London,Greater London,SW1H 0PY,City of Westminster London Boro,2031762571,www.studioashby.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14217,151348419,Luxury Branding,2140214,Commercial Services,Research and Design,Design Services,525166,181133,1,,osgb1000004194030,4,8401458,2,21,13,Needham Road,London,Greater London,W11 2RP,City of Westminster London Boro,2079935979,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14471,158335741,C2 Concepts Ltd,2140214,Commercial Services,Research and Design,Design Services,528969,181494,1,,osgb1000005294329,6,8401671,3,20.4,Henry Wood House 2,Riding House Street,London,Greater London,W1W 7FA,City of Westminster London Boro,2030111984,www.c2concepts.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14532,158328381,Temza Ltd,2140214,Commercial Services,Research and Design,Design Services,528965,178258,1,1.00E+11,osgb1000005285804,3,8401591,1,14.7,23,Sussex Street,London,Greater London,SW1V 4RR,City of Westminster London Boro,2079320307,www.temza.co.uk,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14646,158327916,P A Consulting Group,2140214,Commercial Services,Research and Design,Design Services,529026.3,179324.6,1,10033638118,osgb1000042217690,8,8401131,1,33.5,10,Bressenden Place,London,Greater London,SW1E 5DN,City of Westminster London Boro,1763261222,www.paconsulting.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14710,151346439,Howdens Joinery Co.,2140214,Commercial Services,Research and Design,Design Services,528080,181166,1,1.00E+11,osgb1000001787342339,1,8400564,1,33.3,40,Portman Square,London,Greater London,W1H 6LT,City of Westminster London Boro,2075351127,www.howdens.com,Howdens Joinery Co.,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14726,149625601,M K Interiors Ltd,2140214,Commercial Services,Research and Design,Design Services,529117,181613,1,,osgb1000005427016,2,8401379,2,10.4,72,Great Titchfield Street,London,Greater London,W1W 7QW,City of Westminster London Boro,7753235082,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14790,151356488,Tom Ford Studio,2140214,Commercial Services,Research and Design,Design Services,529391,179143,1,10092037635,osgb1000042217575,6,8400975,1,26.8,7,Howick Place,London,Greater London,SW1P 1BB,City of Westminster London Boro,2073687800,www.tomford.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14844,151345020,Outre Creative,2140214,Commercial Services,Research and Design,Design Services,529736,178865,1,10092039944,osgb1000005417935,4,8400272,1,50.5,1,Vincent Square,London,Greater London,SW1P 2PN,City of Westminster London Boro,2078316053,www.outrecreative.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14911,160760986,M T Design Studio,2140214,Commercial Services,Research and Design,Design Services,529076.6,181486.4,1,1.00E+11,osgb1000005428435,2,8401448,1,12.7,83,Mortimer Street,London,Greater London,W1W 7SL,City of Westminster London Boro,2076362204,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14915,160766831,The Basement Information Centre,2140214,Commercial Services,Research and Design,Design Services,529020,178799,1,1.00E+11,osgb1000005418459,6,8401347,1,17.4,Gillingham House 38-44,Gillingham Street,London,Greater London,SW1V 1HU,City of Westminster London Boro,2079638038,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14943,159598183,Presentation Experts,2140214,Commercial Services,Research and Design,Design Services,527664,181851,1,,osgb1000042196059,3,8400118,3,17.1,North West House 119-127,Marylebone Road,London,Greater London,NW1 5PU,City of Westminster London Boro,2038598660,,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,14993,159608103,Aquascutum,2140214,Commercial Services,Research and Design,Design Services,529332,180217,1,1.00E+11,osgb1000042219883,4,8400489,1,16.6,"22, King Street",St James's,London,Greater London,SW1Y 6QY,City of Westminster London Boro,2030961851,,Aquascutum Ltd,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,15020,159607548,Content Creatures,2140214,Commercial Services,Research and Design,Design Services,529046,179013,1,1.00E+11,osgb1000005419155,12,8400284,1,24.9,Parnell House 25,Wilton Road,London,Greater London,SW1V 1LW,City of Westminster London Boro,2035751080,www.contentcreatures.com,,,,118 Information,2024/6/1
"Professional, Scientific and Technical Activities",7410,Specialised Design Activities,15024,159604296,British Academy of Interior Design,2140214,Commercial Services,Research and Design,Design Services,529051,180401,1,,osgb1000042219977,7,8400965,2,17.7,Dover Street,Westminster,London,Greater London,W1S 4FF,City of Westminster London Boro,2033934154,www.baid.co.uk,,,,118 Information,2024/6/1
